ID,triple1,question,answer,inferred triple,label
1096,Calder Hill is different from Calder Hill.,"Given the previous statement, is Calder Hall an Calder Hill?",No,Calder Hall is not different from Calder Hill.,False
1097,Caldicott School is different from Caldicott School.,"Given the previous statement, is Caldicot School an Caldicott School?",No,Caldicot School is not different from Caldicott School.,False
1098,Caldonia is different from Caldonia.,"Given the previous statement, is Caledonia an Caldonia?",No,Caledonia is not different from Caldonia.,False
1099,Caldonia is different from Caldonia.,"Given the previous statement, is Caldonia an Caldonia?",No,Caldonia is not different from Caldonia.,False
1100,Caldonia is different from Caldonia.,"Given the previous statement, is Caledonia an Caldonia?",No,Caledonia is not different from Caldonia.,False
1101,Caldron Pool is different from Caldron Pool.,"Given the previous statement, is Cauldron Pool an Caldron Pool?",No,Cauldron Pool is not different from Caldron Pool.,False
1102,"Caldwell, Texas is different from Caldwell, Texas.","Given the previous statement, is Texas an Caldwell, Texas?",No,"Texas is not different from Caldwell, Texas.",False
1103,"Caldwell, Texas is different from Caldwell, Texas.","Given the previous statement, is Caldwell County an Caldwell, Texas?",No,"Caldwell County is not different from Caldwell, Texas.",False
1104,"Caledon, Ontario is different from Caledon, Ontario.","Given the previous statement, is Caledonia an Caledon, Ontario?",No,"Caledonia is not different from Caledon, Ontario.",False
1105,"Caledon, Ontario is different from Caledon, Ontario.","Given the previous statement, is Ontario an Caledon, Ontario?",No,"Ontario is not different from Caledon, Ontario.",False
1106,"Caledonia, Illinois is different from Caledonia, Illinois.","Given the previous statement, is Caledonia Township an Caledonia, Illinois?",No,"Caledonia Township is not different from Caledonia, Illinois.",False
1107,"Caledonia, Illinois is different from Caledonia, Illinois.","Given the previous statement, is Illinois an Caledonia, Illinois?",No,"Illinois is not different from Caledonia, Illinois.",False
1108,Caledonia Mill is different from Caledonia Mill.,"Given the previous statement, is Caledonia Mills an Caledonia Mill?",No,Caledonia Mills is not different from Caledonia Mill.,False
1109,"Caledonia Township, Alcona County, Michigan is different from Caledonia Township, Alcona County, Michigan.","Given the previous statement, is Caledonia Township an Caledonia Township, Alcona County, Michigan?",No,"Caledonia Township is not different from Caledonia Township, Alcona County, Michigan.",False
1110,"Caledonia Township, Alcona County, Michigan is different from Caledonia Township, Alcona County, Michigan.","Given the previous statement, is Michigan an Caledonia Township, Alcona County, Michigan?",No,"Michigan is not different from Caledonia Township, Alcona County, Michigan.",False
1111,"Caledonia Township, Alcona County, Michigan is different from Caledonia Township, Alcona County, Michigan.","Given the previous statement, is Kent County an Caledonia Township, Alcona County, Michigan?",No,"Kent County is not different from Caledonia Township, Alcona County, Michigan.",False
1112,"Caledonia Township, Alcona County, Michigan is different from Caledonia Township, Alcona County, Michigan.","Given the previous statement, is Shiawassee County an Caledonia Township, Alcona County, Michigan?",No,"Shiawassee County is not different from Caledonia Township, Alcona County, Michigan.",False
1113,Calendar is different from Calendar.,"Given the previous statement, is Calender an Calendar?",No,Calender is not different from Calendar.,False
1114,Calenzana is different from Calenzana.,"Given the previous statement, is Calenzano an Calenzana?",No,Calenzano is not different from Calenzana.,False
1115,Calenzano is different from Calenzano.,"Given the previous statement, is Calenzana an Calenzano?",No,Calenzana is not different from Calenzano.,False
1116,Caleta Herradura Formation is different from Caleta Herradura Formation.,"Given the previous statement, is La Herradura Formation an Caleta Herradura Formation?",No,La Herradura Formation is not different from Caleta Herradura Formation.,False
1117,Calgon is different from Calgon.,"Given the previous statement, is Calgon an Calgon?",No,Calgon is not different from Calgon.,False
1118,Calgon is different from Calgon.,"Given the previous statement, is Calgon Carbon an Calgon?",No,Calgon Carbon is not different from Calgon.,False
1119,"Calhoun, West Virginia is different from Calhoun, West Virginia.","Given the previous statement, is West Virginia an Calhoun, West Virginia?",No,"West Virginia is not different from Calhoun, West Virginia.",False
1120,"Calhoun, West Virginia is different from Calhoun, West Virginia.","Given the previous statement, is Calhoun County an Calhoun, West Virginia?",No,"Calhoun County is not different from Calhoun, West Virginia.",False
1121,"Calhoun County, Georgia is different from Calhoun County, Georgia.","Given the previous statement, is Georgia an Calhoun County, Georgia?",No,"Georgia is not different from Calhoun County, Georgia.",False
1122,"Calhoun County, Georgia is different from Calhoun County, Georgia.","Given the previous statement, is Calhoun an Calhoun County, Georgia?",No,"Calhoun is not different from Calhoun County, Georgia.",False
1123,Calhoun School is different from Calhoun School.,"Given the previous statement, is Calhoun Colored School an Calhoun School?",No,Calhoun Colored School is not different from Calhoun School.,False
1124,Calico is different from Calico.,"Given the previous statement, is Coleco an Calico?",No,Coleco is not different from Calico.,False
1125,Calico Mills is different from Calico Mills.,"Given the previous statement, is Calico Printers' Association an Calico Mills?",No,Calico Printers' Association is not different from Calico Mills.,False
1126,California Academy of Sciences is different from California Academy of Sciences.,"Given the previous statement, is California Science Center an California Academy of Sciences?",No,California Science Center is not different from California Academy of Sciences.,False
1127,California Academy of Sciences is different from California Academy of Sciences.,"Given the previous statement, is California Institute of Science an California Academy of Sciences?",No,California Institute of Science is not different from California Academy of Sciences.,False
1128,California College of the Arts is different from California College of the Arts.,"Given the previous statement, is California Institute of the Arts an California College of the Arts?",No,California Institute of the Arts is not different from California College of the Arts.,False
1129,California Department of Transportation is different from California Department of Transportation.,"Given the previous statement, is Caltrain an California Department of Transportation?",No,Caltrain is not different from California Department of Transportation.,False
1130,California Dreams is different from California Dreams.,"Given the previous statement, is California Dreaming an California Dreams?",No,California Dreaming is not different from California Dreams.,False
1131,California Exposition and State Fair Police is different from California Exposition and State Fair Police.,"Given the previous statement, is Exposition Park Department of Public Safety an California Exposition and State Fair Police?",No,Exposition Park Department of Public Safety is not different from California Exposition and State Fair Police.,False
1132,California Institute of the Arts is different from California Institute of the Arts.,"Given the previous statement, is California College of the Arts an California Institute of the Arts?",No,California College of the Arts is not different from California Institute of the Arts.,False
1133,California Legislative Analyst's Office is different from California Legislative Analyst's Office.,"Given the previous statement, is California Office of Legislative Counsel an California Legislative Analyst's Office?",No,California Office of Legislative Counsel is not different from California Legislative Analyst's Office.,False
1134,California National University for Advanced Studies is different from California National University for Advanced Studies.,"Given the previous statement, is National University an California National University for Advanced Studies?",No,National University is not different from California National University for Advanced Studies.,False
1135,California Office of Legislative Counsel is different from California Office of Legislative Counsel.,"Given the previous statement, is California Legislative Analyst's Office an California Office of Legislative Counsel?",No,California Legislative Analyst's Office is not different from California Office of Legislative Counsel.,False
1136,California Pizza Kitchen is different from California Pizza Kitchen.,"Given the previous statement, is Pizza California an California Pizza Kitchen?",No,Pizza California is not different from California Pizza Kitchen.,False
1137,California Science Center is different from California Science Center.,"Given the previous statement, is California Academy of Sciences an California Science Center?",No,California Academy of Sciences is not different from California Science Center.,False
1138,California Science Center is different from California Science Center.,"Given the previous statement, is California Institute of Science an California Science Center?",No,California Institute of Science is not different from California Science Center.,False
1139,California Shenandoah Valley AVA is different from California Shenandoah Valley AVA.,"Given the previous statement, is Shenandoah Valley AVA an California Shenandoah Valley AVA?",No,Shenandoah Valley AVA is not different from California Shenandoah Valley AVA.,False
1140,"California State Polytechnic University, Humboldt is different from California State Polytechnic University, Humboldt.","Given the previous statement, is Humboldt University of Berlin an California State Polytechnic University, Humboldt?",No,"Humboldt University of Berlin is not different from California State Polytechnic University, Humboldt.",False
1141,California State University is different from California State University.,"Given the previous statement, is California University of Pennsylvania an California State University?",No,California University of Pennsylvania is not different from California State University.,False
1142,California State University is different from California State University.,"Given the previous statement, is University of California an California State University?",No,University of California is not different from California State University.,False
1143,"California State University, Los Angeles is different from California State University, Los Angeles.","Given the previous statement, is University of California an California State University, Los Angeles?",No,"University of California is not different from California State University, Los Angeles.",False
1144,"California State University, Los Angeles is different from California State University, Los Angeles.","Given the previous statement, is Los Angeles an California State University, Los Angeles?",No,"Los Angeles is not different from California State University, Los Angeles.",False
1145,California sound is different from California sound.,"Given the previous statement, is West Coast sound an California sound?",No,West Coast sound is not different from California sound.,False
1146,Call Center Girl is different from Call Center Girl.,"Given the previous statement, is Call girl an Call Center Girl?",No,Call girl is not different from Call Center Girl.,False
1147,Call Center Girl is different from Call Center Girl.,"Given the previous statement, is Call centre an Call Center Girl?",No,Call centre is not different from Call Center Girl.,False
1148,Call Center Girl is different from Call Center Girl.,"Given the previous statement, is Telemarketer an Call Center Girl?",No,Telemarketer is not different from Call Center Girl.,False
1149,Call Me Baby is different from Call Me Baby.,"Given the previous statement, is Call Me Maybe an Call Me Baby?",No,Call Me Maybe is not different from Call Me Baby.,False
1150,Call Me Maybe is different from Call Me Maybe.,"Given the previous statement, is Call Me Baby an Call Me Maybe?",No,Call Me Baby is not different from Call Me Maybe.,False
1151,Call Signs is different from Call Signs.,"Given the previous statement, is Call sign an Call Signs?",No,Call sign is not different from Call Signs.,False
1152,Call of the Wild is different from Call of the Wild.,"Given the previous statement, is The Call of the Wild an Call of the Wild?",No,The Call of the Wild is not different from Call of the Wild.,False
1153,Callendar House is different from Callendar House.,"Given the previous statement, is Callender House an Callendar House?",No,Callender House is not different from Callendar House.,False
1154,"Callington, South Australia is different from Callington, South Australia.","Given the previous statement, is Callington an Callington, South Australia?",No,"Callington is not different from Callington, South Australia.",False
1155,"Callington, South Australia is different from Callington, South Australia.","Given the previous statement, is Cornwall an Callington, South Australia?",No,"Cornwall is not different from Callington, South Australia.",False
1156,Callipelis is different from Callipelis.,"Given the previous statement, is Callilepis an Callipelis?",No,Callilepis is not different from Callipelis.,False
1157,Callipelis is different from Callipelis.,"Given the previous statement, is Callipeltis an Callipelis?",No,Callipeltis is not different from Callipelis.,False
1158,Callisto is different from Callisto.,"Given the previous statement, is Calypso an Callisto?",No,Calypso is not different from Callisto.,False
1159,Callocladia is different from Callocladia.,"Given the previous statement, is Calocladia an Callocladia?",No,Calocladia is not different from Callocladia.,False
1160,Callocladia is different from Callocladia.,"Given the previous statement, is Calocladia elegans an Callocladia?",No,Calocladia elegans is not different from Callocladia.,False
1161,Callum Turner is different from Callum Turner.,"Given the previous statement, is Calum Turner an Callum Turner?",No,Calum Turner is not different from Callum Turner.,False
1162,"Caln Township, Chester County, Pennsylvania is different from Caln Township, Chester County, Pennsylvania.","Given the previous statement, is Pennsylvania an Caln Township, Chester County, Pennsylvania?",No,"Pennsylvania is not different from Caln Township, Chester County, Pennsylvania.",False
1163,"Caln Township, Chester County, Pennsylvania is different from Caln Township, Chester County, Pennsylvania.","Given the previous statement, is Chester County an Caln Township, Chester County, Pennsylvania?",No,"Chester County is not different from Caln Township, Chester County, Pennsylvania.",False
1164,"Caln Township, Chester County, Pennsylvania is different from Caln Township, Chester County, Pennsylvania.","Given the previous statement, is West Caln Township an Caln Township, Chester County, Pennsylvania?",No,"West Caln Township is not different from Caln Township, Chester County, Pennsylvania.",False
1165,"Caln Township, Chester County, Pennsylvania is different from Caln Township, Chester County, Pennsylvania.","Given the previous statement, is East Caln Township an Caln Township, Chester County, Pennsylvania?",No,"East Caln Township is not different from Caln Township, Chester County, Pennsylvania.",False
1166,Calore Irpino is different from Calore Irpino.,"Given the previous statement, is Calore Lucano an Calore Irpino?",No,Calore Lucano is not different from Calore Irpino.,False
1167,Calore Lucano is different from Calore Lucano.,"Given the previous statement, is Calore Irpino an Calore Lucano?",No,Calore Irpino is not different from Calore Lucano.,False
1168,Calorimeter is different from Calorimeter.,"Given the previous statement, is Colorimeter an Calorimeter?",No,Colorimeter is not different from Calorimeter.,False
1169,Caltrain is different from Caltrain.,"Given the previous statement, is Caltrans an Caltrain?",No,Caltrans is not different from Caltrain.,False
1170,Calum Turner is different from Calum Turner.,"Given the previous statement, is Callum Turner an Calum Turner?",No,Callum Turner is not different from Calum Turner.,False
1171,Calvary Christian Academy is different from Calvary Christian Academy.,"Given the previous statement, is Calvary Christian High School an Calvary Christian Academy?",No,Calvary Christian High School is not different from Calvary Christian Academy.,False
1172,Calvary Christian High School is different from Calvary Christian High School.,"Given the previous statement, is Calvary Christian Academy an Calvary Christian High School?",No,Calvary Christian Academy is not different from Calvary Christian High School.,False
1173,"Calvert, Maryland is different from Calvert, Maryland.","Given the previous statement, is Maryland an Calvert, Maryland?",No,"Maryland is not different from Calvert, Maryland.",False
1174,"Calvert, Maryland is different from Calvert, Maryland.","Given the previous statement, is Calvert County an Calvert, Maryland?",No,"Calvert County is not different from Calvert, Maryland.",False
1175,Calvin Petersen is different from Calvin Petersen.,"Given the previous statement, is Cal Petersen an Calvin Petersen?",No,Cal Petersen is not different from Calvin Petersen.,False
1176,Calvin Turner is different from Calvin Turner.,"Given the previous statement, is Cal Turner Jr. an Calvin Turner?",No,Cal Turner Jr. is not different from Calvin Turner.,False
1177,Calvin Turner is different from Calvin Turner.,"Given the previous statement, is Cal Turner an Calvin Turner?",No,Cal Turner is not different from Calvin Turner.,False
1178,Calydon is different from Calydon.,"Given the previous statement, is Caledon an Calydon?",No,Caledon is not different from Calydon.,False
1179,Calypso is different from Calypso.,"Given the previous statement, is Callisto an Calypso?",No,Callisto is not different from Calypso.,False
1180,CamStudio is different from CamStudio.,"Given the previous statement, is Camtasia Studio an CamStudio?",No,Camtasia Studio is not different from CamStudio.,False
1181,Cam Brook is different from Cam Brook.,"Given the previous statement, is River Cam an Cam Brook?",No,River Cam is not different from Cam Brook.,False
1182,Camaleona is different from Camaleona.,"Given the previous statement, is Camaleones an Camaleona?",No,Camaleones is not different from Camaleona.,False
1183,Camano Island is different from Camano Island.,"Given the previous statement, is Kamano Island an Camano Island?",No,Kamano Island is not different from Camano Island.,False
1184,Camano Island is different from Camano Island.,"Given the previous statement, is Camino Island an Camano Island?",No,Camino Island is not different from Camano Island.,False
1185,Camarillas is different from Camarillas.,"Given the previous statement, is Camarilla an Camarillas?",No,Camarilla is not different from Camarillas.,False
1186,Camas Formation is different from Camas Formation.,"Given the previous statement, is Camas Valley Formation an Camas Formation?",No,Camas Valley Formation is not different from Camas Formation.,False
1187,Camazepam is different from Camazepam.,"Given the previous statement, is Cinolazepam an Camazepam?",No,Cinolazepam is not different from Camazepam.,False
1188,Camazepam is different from Camazepam.,"Given the previous statement, is Clobazam an Camazepam?",No,Clobazam is not different from Camazepam.,False
1189,Camazepam is different from Camazepam.,"Given the previous statement, is Clonazepam an Camazepam?",No,Clonazepam is not different from Camazepam.,False
1190,Camber Railway is different from Camber Railway.,"Given the previous statement, is Rye an Camber Railway?",No,Rye is not different from Camber Railway.,False
1191,Camber Railway is different from Camber Railway.,"Given the previous statement, is Camber Tramway an Camber Railway?",No,Camber Tramway is not different from Camber Railway.,False
1192,Cambodian People's Party is different from Cambodian People's Party.,"Given the previous statement, is Pracheachon an Cambodian People's Party?",No,Pracheachon is not different from Cambodian People's Party.,False
1193,"Camboon, Queensland is different from Camboon, Queensland.","Given the previous statement, is Queensland an Camboon, Queensland?",No,"Queensland is not different from Camboon, Queensland.",False
1194,"Camboon, Queensland is different from Camboon, Queensland.","Given the previous statement, is Cambroon an Camboon, Queensland?",No,"Cambroon is not different from Camboon, Queensland.",False
1195,Cambourne is different from Cambourne.,"Given the previous statement, is Camborne an Cambourne?",No,Camborne is not different from Cambourne.,False
1196,Cambourne is different from Cambourne.,"Given the previous statement, is Cornwall an Cambourne?",No,Cornwall is not different from Cambourne.,False
1197,Cambrai is different from Cambrai.,"Given the previous statement, is Combray an Cambrai?",No,Combray is not different from Cambrai.,False
1198,Cambrai is different from Cambrai.,"Given the previous statement, is Cambria an Cambrai?",No,Cambria is not different from Cambrai.,False
1199,"Cambria, Indiana is different from Cambria, Indiana.","Given the previous statement, is Cambria an Cambria, Indiana?",No,"Cambria is not different from Cambria, Indiana.",False
1200,"Cambria, New York is different from Cambria, New York.","Given the previous statement, is Queens an Cambria, New York?",No,"Queens is not different from Cambria, New York.",False
1201,"Cambria, New York is different from Cambria, New York.","Given the previous statement, is Cambria Heights an Cambria, New York?",No,"Cambria Heights is not different from Cambria, New York.",False
1202,"Cambria Heights, Queens is different from Cambria Heights, Queens.","Given the previous statement, is New York an Cambria Heights, Queens?",No,"New York is not different from Cambria Heights, Queens.",False
1203,"Cambria Heights, Queens is different from Cambria Heights, Queens.","Given the previous statement, is Cambria an Cambria Heights, Queens?",No,"Cambria is not different from Cambria Heights, Queens.",False
1204,Cambrian is different from Cambrian.,"Given the previous statement, is Cambria an Cambrian?",No,Cambria is not different from Cambrian.,False
1205,Cambrian is different from Cambrian.,"Given the previous statement, is Cumbria an Cambrian?",No,Cumbria is not different from Cambrian.,False
1206,Cambrian Line is different from Cambrian Line.,"Given the previous statement, is Cumbrian Coast Line an Cambrian Line?",No,Cumbrian Coast Line is not different from Cambrian Line.,False
1207,Cambrian Mills is different from Cambrian Mills.,"Given the previous statement, is Cambrian Mills an Cambrian Mills?",No,Cambrian Mills is not different from Cambrian Mills.,False
1208,Cambrian Mills is different from Cambrian Mills.,"Given the previous statement, is Dre-fach Felindre an Cambrian Mills?",No,Dre-fach Felindre is not different from Cambrian Mills.,False
1209,Cambrian substrate revolution is different from Cambrian substrate revolution.,"Given the previous statement, is Green Revolution an Cambrian substrate revolution?",No,Green Revolution is not different from Cambrian substrate revolution.,False
1210,Cambrian substrate revolution is different from Cambrian substrate revolution.,"Given the previous statement, is Agrarian revolution an Cambrian substrate revolution?",No,Agrarian revolution is not different from Cambrian substrate revolution.,False
1211,Cambrian substrate revolution is different from Cambrian substrate revolution.,"Given the previous statement, is Agricultural revolution an Cambrian substrate revolution?",No,Agricultural revolution is not different from Cambrian substrate revolution.,False
1212,Cambridge College is different from Cambridge College.,"Given the previous statement, is Colleges of the University of Cambridge an Cambridge College?",No,Colleges of the University of Cambridge is not different from Cambridge College.,False
1213,Cambridge FC is different from Cambridge FC.,"Given the previous statement, is Cambridge City F.C. an Cambridge FC?",No,Cambridge City F.C. is not different from Cambridge FC.,False
1214,Cambridge FC is different from Cambridge FC.,"Given the previous statement, is Cambridge United F.C. an Cambridge FC?",No,Cambridge United F.C. is not different from Cambridge FC.,False
1215,Cambridge FC is different from Cambridge FC.,"Given the previous statement, is Cambridge University A.F.C. an Cambridge FC?",No,Cambridge University A.F.C. is not different from Cambridge FC.,False
1216,Cambridge Greensand is different from Cambridge Greensand.,"Given the previous statement, is Cambridge Formation an Cambridge Greensand?",No,Cambridge Formation is not different from Cambridge Greensand.,False
1217,Cambridge R.U.F.C. is different from Cambridge R.U.F.C..,"Given the previous statement, is Cambridge University R.U.F.C. an Cambridge R.U.F.C.?",No,Cambridge University R.U.F.C. is not different from Cambridge R.U.F.C..,False
1218,Cambridge Reporter is different from Cambridge Reporter.,"Given the previous statement, is Cambridge University Reporter an Cambridge Reporter?",No,Cambridge University Reporter is not different from Cambridge Reporter.,False
1219,Cambridge Scholars Publishing is different from Cambridge Scholars Publishing.,"Given the previous statement, is Cambridge University Press an Cambridge Scholars Publishing?",No,Cambridge University Press is not different from Cambridge Scholars Publishing.,False
1220,Cambridge Students' Union is different from Cambridge Students' Union.,"Given the previous statement, is Cambridge Union an Cambridge Students' Union?",No,Cambridge Union is not different from Cambridge Students' Union.,False
1221,Cambron is different from Cambron.,"Given the previous statement, is Cambrón an Cambron?",No,Cambrón is not different from Cambron.,False
1222,Cambron Abbey is different from Cambron Abbey.,"Given the previous statement, is La Cambre Abbey an Cambron Abbey?",No,La Cambre Abbey is not different from Cambron Abbey.,False
1223,"Cambroon, Queensland is different from Cambroon, Queensland.","Given the previous statement, is Queensland an Cambroon, Queensland?",No,"Queensland is not different from Cambroon, Queensland.",False
1224,"Cambroon, Queensland is different from Cambroon, Queensland.","Given the previous statement, is Camboon an Cambroon, Queensland?",No,"Camboon is not different from Cambroon, Queensland.",False
1225,Cambuslang RFC is different from Cambuslang RFC.,"Given the previous statement, is Cambuslang Rangers F.C. an Cambuslang RFC?",No,Cambuslang Rangers F.C. is not different from Cambuslang RFC.,False
1226,Cambuslang Rangers F.C. is different from Cambuslang Rangers F.C..,"Given the previous statement, is Cambuslang RFC an Cambuslang Rangers F.C.?",No,Cambuslang RFC is not different from Cambuslang Rangers F.C..,False
1227,Cambuslang Rangers F.C. is different from Cambuslang Rangers F.C..,"Given the previous statement, is Cambuslang F.C. an Cambuslang Rangers F.C.?",No,Cambuslang F.C. is not different from Cambuslang Rangers F.C..,False
1228,"Camden, Missouri is different from Camden, Missouri.","Given the previous statement, is Camden County an Camden, Missouri?",No,"Camden County is not different from Camden, Missouri.",False
1229,"Camden, Missouri is different from Camden, Missouri.","Given the previous statement, is Missouri an Camden, Missouri?",No,"Missouri is not different from Camden, Missouri.",False
1230,Camden City Hall is different from Camden City Hall.,"Given the previous statement, is Camden Town Hall an Camden City Hall?",No,Camden Town Hall is not different from Camden City Hall.,False
1231,Camden Road railway station is different from Camden Road railway station.,"Given the previous statement, is Camden Road railway station an Camden Road railway station?",No,Camden Road railway station is not different from Camden Road railway station.,False
1232,Camden Town Hall is different from Camden Town Hall.,"Given the previous statement, is Camden City Hall an Camden Town Hall?",No,Camden City Hall is not different from Camden Town Hall.,False
1233,Camela is different from Camela.,"Given the previous statement, is Camila an Camela?",No,Camila is not different from Camela.,False
1234,Camerlengo of the Holy Roman Church is different from Camerlengo of the Holy Roman Church.,"Given the previous statement, is List of Camerlengos of the Sacred College of Cardinals an Camerlengo of the Holy Roman Church?",No,List of Camerlengos of the Sacred College of Cardinals is not different from Camerlengo of the Holy Roman Church.,False
1235,Camero is different from Camero.,"Given the previous statement, is Chevrolet Camaro an Camero?",No,Chevrolet Camaro is not different from Camero.,False
1236,"Cameron, Texas is different from Cameron, Texas.","Given the previous statement, is Cameron County an Cameron, Texas?",No,"Cameron County is not different from Cameron, Texas.",False
1237,"Cameron, Texas is different from Cameron, Texas.","Given the previous statement, is Texas an Cameron, Texas?",No,"Texas is not different from Cameron, Texas.",False
1238,Cameron is different from Cameron.,"Given the previous statement, is Kamran an Cameron?",No,Kamran is not different from Cameron.,False
1239,Cameron Bay is different from Cameron Bay.,"Given the previous statement, is Cam Ranh Bay an Cameron Bay?",No,Cam Ranh Bay is not different from Cameron Bay.,False
1240,Cameron Carter-Vickers is different from Cameron Carter-Vickers.,"Given the previous statement, is Cameron Vickers an Cameron Carter-Vickers?",No,Cameron Vickers is not different from Cameron Carter-Vickers.,False
1241,"Cameron County, Texas is different from Cameron County, Texas.","Given the previous statement, is Cameron an Cameron County, Texas?",No,"Cameron is not different from Cameron County, Texas.",False
1242,"Cameron County, Texas is different from Cameron County, Texas.","Given the previous statement, is Texas an Cameron County, Texas?",No,"Texas is not different from Cameron County, Texas.",False
1243,Cameron Island is different from Cameron Island.,"Given the previous statement, is Cameron Island an Cameron Island?",No,Cameron Island is not different from Cameron Island.,False
1244,Cameron Island is different from Cameron Island.,"Given the previous statement, is Antarctica an Cameron Island?",No,Antarctica is not different from Cameron Island.,False
1245,Cameron Jordan is different from Cameron Jordan.,"Given the previous statement, is Jordan Cameron an Cameron Jordan?",No,Jordan Cameron is not different from Cameron Jordan.,False
1246,Cameron Mitchell is different from Cameron Mitchell.,"Given the previous statement, is John Cameron Mitchell an Cameron Mitchell?",No,John Cameron Mitchell is not different from Cameron Mitchell.,False
1247,Cameron Vickers is different from Cameron Vickers.,"Given the previous statement, is Cameron Carter-Vickers an Cameron Vickers?",No,Cameron Carter-Vickers is not different from Cameron Vickers.,False
1248,Cameronian is different from Cameronian.,"Given the previous statement, is Cameroonian an Cameronian?",No,Cameroonian is not different from Cameronian.,False
1249,Camerota is different from Camerota.,"Given the previous statement, is Camerota an Camerota?",No,Camerota is not different from Camerota.,False
1250,Camerton railway station is different from Camerton railway station.,"Given the previous statement, is Camerton Colliery Halt railway station an Camerton railway station?",No,Camerton Colliery Halt railway station is not different from Camerton railway station.,False
1251,Camilla Filippi is different from Camilla Filippi.,"Given the previous statement, is Camillo Filippi an Camilla Filippi?",No,Camillo Filippi is not different from Camilla Filippi.,False
1252,Camilla Martens is different from Camilla Martens.,"Given the previous statement, is Camilla Martin an Camilla Martens?",No,Camilla Martin is not different from Camilla Martens.,False
1253,Camilla Martin is different from Camilla Martin.,"Given the previous statement, is Camilla Martens an Camilla Martin?",No,Camilla Martens is not different from Camilla Martin.,False
1254,Camille is different from Camille.,"Given the previous statement, is Camilla an Camille?",No,Camilla is not different from Camille.,False
1255,Camille O'Sullivan is different from Camille O'Sullivan.,"Given the previous statement, is Camille an Camille O'Sullivan?",No,Camille is not different from Camille O'Sullivan.,False
1256,Camoflauge is different from Camoflauge.,"Given the previous statement, is Camouflage an Camoflauge?",No,Camouflage is not different from Camoflauge.,False
1257,Camouflage is different from Camouflage.,"Given the previous statement, is Dazzle camouflage an Camouflage?",No,Dazzle camouflage is not different from Camouflage.,False
1258,Camp Bowie is different from Camp Bowie.,"Given the previous statement, is Fort Bowie an Camp Bowie?",No,Fort Bowie is not different from Camp Bowie.,False
1259,Camp Cooke is different from Camp Cooke.,"Given the previous statement, is Vandenberg Air Force Base an Camp Cooke?",No,Vandenberg Air Force Base is not different from Camp Cooke.,False
1260,Camp Fire is different from Camp Fire.,"Given the previous statement, is Campfire an Camp Fire?",No,Campfire is not different from Camp Fire.,False
1261,Camp George G. Meade is different from Camp George G. Meade.,"Given the previous statement, is 1913 Gettysburg reunion an Camp George G. Meade?",No,1913 Gettysburg reunion is not different from Camp George G. Meade.,False
1262,Camp George G. Meade is different from Camp George G. Meade.,"Given the previous statement, is Fort Meade an Camp George G. Meade?",No,Fort Meade is not different from Camp George G. Meade.,False
1263,Camp George G. Meade is different from Camp George G. Meade.,"Given the previous statement, is Camp George Meade an Camp George G. Meade?",No,Camp George Meade is not different from Camp George G. Meade.,False
1264,Camp George G. Meade is different from Camp George G. Meade.,"Given the previous statement, is Fort George G. Meade an Camp George G. Meade?",No,Fort George G. Meade is not different from Camp George G. Meade.,False
1265,Camp Mather-Camp Logan is different from Camp Mather-Camp Logan.,"Given the previous statement, is Camp Mather (San Francisco Recreation an Camp Mather-Camp Logan?",No,Camp Mather (San Francisco Recreation is not different from Camp Mather-Camp Logan.,False
1266,Camp Mather-Camp Logan is different from Camp Mather-Camp Logan.,"Given the previous statement, is Parks) an Camp Mather-Camp Logan?",No,Parks) is not different from Camp Mather-Camp Logan.,False
1267,Camp Merriam is different from Camp Merriam.,"Given the previous statement, is California an Camp Merriam?",No,California is not different from Camp Merriam.,False
1268,Camp Merriam is different from Camp Merriam.,"Given the previous statement, is Camp Merritt an Camp Merriam?",No,Camp Merritt is not different from Camp Merriam.,False
1269,"Camp Merritt, California is different from Camp Merritt, California.","Given the previous statement, is California an Camp Merritt, California?",No,"California is not different from Camp Merritt, California.",False
1270,"Camp Merritt, California is different from Camp Merritt, California.","Given the previous statement, is Camp Merriam an Camp Merritt, California?",No,"Camp Merriam is not different from Camp Merritt, California.",False
1271,"Camp Mountain, Queensland is different from Camp Mountain, Queensland.","Given the previous statement, is Queensland an Camp Mountain, Queensland?",No,"Queensland is not different from Camp Mountain, Queensland.",False
1272,"Camp Mountain, Queensland is different from Camp Mountain, Queensland.","Given the previous statement, is Mountain Camp an Camp Mountain, Queensland?",No,"Mountain Camp is not different from Camp Mountain, Queensland.",False
1273,Camp Tulelake is different from Camp Tulelake.,"Given the previous statement, is Tule Lake War Relocation Center an Camp Tulelake?",No,Tule Lake War Relocation Center is not different from Camp Tulelake.,False
1274,Campagnano di Roma is different from Campagnano di Roma.,"Given the previous statement, is Campagnaro an Campagnano di Roma?",No,Campagnaro is not different from Campagnano di Roma.,False
1275,Campaspe River is different from Campaspe River.,"Given the previous statement, is Campaspe River an Campaspe River?",No,Campaspe River is not different from Campaspe River.,False
1276,Campbell College is different from Campbell College.,"Given the previous statement, is Campbell College an Campbell College?",No,Campbell College is not different from Campbell College.,False
1277,Campbell Court Hotel is different from Campbell Court Hotel.,"Given the previous statement, is Campbell Hotel an Campbell Court Hotel?",No,Campbell Hotel is not different from Campbell Court Hotel.,False
