ID,triple1,question,answer,inferred triple,label
1091,C is different from C.,"Given the previous statements, is W different from C?",No,W is not different from C.,False
1092,C is different from C.,"Given the previous statements, is V different from C?",No,V is not different from C.,False
1093,C is different from C.,"Given the previous statements, is V different from C?",No,V is not different from C.,False
1094,C is different from C.,"Given the previous statements, is F different from C?",No,F is not different from C.,False
1095,C is different from C.,"Given the previous statements, is K different from C?",No,K is not different from C.,False
1096,C is different from C.,"Given the previous statements, is U different from C?",No,U is not different from C.,False
1097,C is different from C.,"Given the previous statements, is G different from C?",No,G is not different from C.,False
1098,C is different from C.,"Given the previous statements, is U different from C?",No,U is not different from C.,False
1099,C is different from C.,"Given the previous statements, is N different from C?",No,N is not different from C.,False
1100,C is different from C.,"Given the previous statements, is N different from C?",No,N is not different from C.,False
1101,C is different from C.,"Given the previous statements, is D different from C?",No,D is not different from C.,False
1102,C is different from C.,"Given the previous statements, is L different from C?",No,L is not different from C.,False
1103,C is different from C.,"Given the previous statements, is Y different from C?",No,Y is not different from C.,False
1104,C is different from C.,"Given the previous statements, is K different from C?",No,K is not different from C.,False
1105,C is different from C.,"Given the previous statements, is Q different from C?",No,Q is not different from C.,False
1106,C is different from C.,"Given the previous statements, is A different from C?",No,A is not different from C.,False
1107,C is different from C.,"Given the previous statements, is E different from C?",No,E is not different from C.,False
1108,C is different from C.,"Given the previous statements, is H different from C?",No,H is not different from C.,False
1109,C is different from C.,"Given the previous statements, is R different from C?",No,R is not different from C.,False
1110,C is different from C.,"Given the previous statements, is K different from C?",No,K is not different from C.,False
1111,C is different from C.,"Given the previous statements, is J different from C?",No,J is not different from C.,False
1112,C is different from C.,"Given the previous statements, is D different from C?",No,D is not different from C.,False
1113,C is different from C.,"Given the previous statements, is V different from C?",No,V is not different from C.,False
1114,C is different from C.,"Given the previous statements, is R different from C?",No,R is not different from C.,False
1115,C is different from C.,"Given the previous statements, is T different from C?",No,T is not different from C.,False
1116,C is different from C.,"Given the previous statements, is X different from C?",No,X is not different from C.,False
1117,C is different from C.,"Given the previous statements, is F different from C?",No,F is not different from C.,False
1118,C is different from C.,"Given the previous statements, is F different from C?",No,F is not different from C.,False
1119,C is different from C.,"Given the previous statements, is L different from C?",No,L is not different from C.,False
1120,C is different from C.,"Given the previous statements, is G different from C?",No,G is not different from C.,False
1121,D is different from D.,"Given the previous statements, is G different from D?",No,G is not different from D.,False
1122,D is different from D.,"Given the previous statements, is A different from D?",No,A is not different from D.,False
1123,D is different from D.,"Given the previous statements, is W different from D?",No,W is not different from D.,False
1124,D is different from D.,"Given the previous statements, is M different from D?",No,M is not different from D.,False
1125,D is different from D.,"Given the previous statements, is K different from D?",No,K is not different from D.,False
1126,D is different from D.,"Given the previous statements, is Y different from D?",No,Y is not different from D.,False
1127,D is different from D.,"Given the previous statements, is Q different from D?",No,Q is not different from D.,False
1128,D is different from D.,"Given the previous statements, is X different from D?",No,X is not different from D.,False
1129,D is different from D.,"Given the previous statements, is L different from D?",No,L is not different from D.,False
1130,D is different from D.,"Given the previous statements, is P different from D?",No,P is not different from D.,False
1131,D is different from D.,"Given the previous statements, is Y different from D?",No,Y is not different from D.,False
1132,D is different from D.,"Given the previous statements, is H different from D?",No,H is not different from D.,False
1133,D is different from D.,"Given the previous statements, is Q different from D?",No,Q is not different from D.,False
1134,D is different from D.,"Given the previous statements, is N different from D?",No,N is not different from D.,False
1135,D is different from D.,"Given the previous statements, is T different from D?",No,T is not different from D.,False
1136,D is different from D.,"Given the previous statements, is Q different from D?",No,Q is not different from D.,False
1137,D is different from D.,"Given the previous statements, is E different from D?",No,E is not different from D.,False
1138,D is different from D.,"Given the previous statements, is Q different from D?",No,Q is not different from D.,False
1139,D is different from D.,"Given the previous statements, is R different from D?",No,R is not different from D.,False
1140,D is different from D.,"Given the previous statements, is J different from D?",No,J is not different from D.,False
1141,D is different from D.,"Given the previous statements, is L different from D?",No,L is not different from D.,False
1142,D is different from D.,"Given the previous statements, is B different from D?",No,B is not different from D.,False
1143,D is different from D.,"Given the previous statements, is C different from D?",No,C is not different from D.,False
1144,D is different from D.,"Given the previous statements, is A different from D?",No,A is not different from D.,False
1145,D is different from D.,"Given the previous statements, is U different from D?",No,U is not different from D.,False
1146,D is different from D.,"Given the previous statements, is F different from D?",No,F is not different from D.,False
1147,D is different from D.,"Given the previous statements, is R different from D?",No,R is not different from D.,False
1148,D is different from D.,"Given the previous statements, is L different from D?",No,L is not different from D.,False
1149,D is different from D.,"Given the previous statements, is U different from D?",No,U is not different from D.,False
1150,D is different from D.,"Given the previous statements, is X different from D?",No,X is not different from D.,False
1151,D is different from D.,"Given the previous statements, is P different from D?",No,P is not different from D.,False
1152,D is different from D.,"Given the previous statements, is W different from D?",No,W is not different from D.,False
1153,D is different from D.,"Given the previous statements, is Z different from D?",No,Z is not different from D.,False
1154,D is different from D.,"Given the previous statements, is A different from D?",No,A is not different from D.,False
1155,D is different from D.,"Given the previous statements, is R different from D?",No,R is not different from D.,False
1156,D is different from D.,"Given the previous statements, is C different from D?",No,C is not different from D.,False
1157,D is different from D.,"Given the previous statements, is G different from D?",No,G is not different from D.,False
1158,D is different from D.,"Given the previous statements, is Z different from D?",No,Z is not different from D.,False
1159,D is different from D.,"Given the previous statements, is Z different from D?",No,Z is not different from D.,False
1160,D is different from D.,"Given the previous statements, is F different from D?",No,F is not different from D.,False
1161,E is different from E.,"Given the previous statements, is S different from E?",No,S is not different from E.,False
1162,E is different from E.,"Given the previous statements, is Z different from E?",No,Z is not different from E.,False
1163,E is different from E.,"Given the previous statements, is P different from E?",No,P is not different from E.,False
1164,E is different from E.,"Given the previous statements, is A different from E?",No,A is not different from E.,False
1165,E is different from E.,"Given the previous statements, is R different from E?",No,R is not different from E.,False
1166,E is different from E.,"Given the previous statements, is W different from E?",No,W is not different from E.,False
1167,E is different from E.,"Given the previous statements, is R different from E?",No,R is not different from E.,False
1168,E is different from E.,"Given the previous statements, is Y different from E?",No,Y is not different from E.,False
1169,E is different from E.,"Given the previous statements, is G different from E?",No,G is not different from E.,False
1170,E is different from E.,"Given the previous statements, is M different from E?",No,M is not different from E.,False
1171,E is different from E.,"Given the previous statements, is D different from E?",No,D is not different from E.,False
1172,E is different from E.,"Given the previous statements, is L different from E?",No,L is not different from E.,False
1173,E is different from E.,"Given the previous statements, is D different from E?",No,D is not different from E.,False
1174,E is different from E.,"Given the previous statements, is A different from E?",No,A is not different from E.,False
1175,E is different from E.,"Given the previous statements, is F different from E?",No,F is not different from E.,False
1176,E is different from E.,"Given the previous statements, is C different from E?",No,C is not different from E.,False
1177,E is different from E.,"Given the previous statements, is V different from E?",No,V is not different from E.,False
1178,E is different from E.,"Given the previous statements, is H different from E?",No,H is not different from E.,False
1179,E is different from E.,"Given the previous statements, is R different from E?",No,R is not different from E.,False
1180,E is different from E.,"Given the previous statements, is P different from E?",No,P is not different from E.,False
1181,E is different from E.,"Given the previous statements, is F different from E?",No,F is not different from E.,False
1182,E is different from E.,"Given the previous statements, is D different from E?",No,D is not different from E.,False
1183,E is different from E.,"Given the previous statements, is W different from E?",No,W is not different from E.,False
1184,E is different from E.,"Given the previous statements, is R different from E?",No,R is not different from E.,False
1185,E is different from E.,"Given the previous statements, is P different from E?",No,P is not different from E.,False
1186,E is different from E.,"Given the previous statements, is T different from E?",No,T is not different from E.,False
1187,E is different from E.,"Given the previous statements, is W different from E?",No,W is not different from E.,False
1188,E is different from E.,"Given the previous statements, is D different from E?",No,D is not different from E.,False
1189,E is different from E.,"Given the previous statements, is M different from E?",No,M is not different from E.,False
1190,E is different from E.,"Given the previous statements, is T different from E?",No,T is not different from E.,False
1191,E is different from E.,"Given the previous statements, is Q different from E?",No,Q is not different from E.,False
1192,E is different from E.,"Given the previous statements, is X different from E?",No,X is not different from E.,False
1193,E is different from E.,"Given the previous statements, is D different from E?",No,D is not different from E.,False
1194,E is different from E.,"Given the previous statements, is O different from E?",No,O is not different from E.,False
1195,E is different from E.,"Given the previous statements, is X different from E?",No,X is not different from E.,False
1196,E is different from E.,"Given the previous statements, is S different from E?",No,S is not different from E.,False
1197,E is different from E.,"Given the previous statements, is F different from E?",No,F is not different from E.,False
1198,E is different from E.,"Given the previous statements, is Y different from E?",No,Y is not different from E.,False
1199,E is different from E.,"Given the previous statements, is H different from E?",No,H is not different from E.,False
1200,E is different from E.,"Given the previous statements, is Q different from E?",No,Q is not different from E.,False
1201,F is different from F.,"Given the previous statements, is Q different from F?",No,Q is not different from F.,False
1202,F is different from F.,"Given the previous statements, is W different from F?",No,W is not different from F.,False
1203,F is different from F.,"Given the previous statements, is G different from F?",No,G is not different from F.,False
1204,F is different from F.,"Given the previous statements, is I different from F?",No,I is not different from F.,False
1205,F is different from F.,"Given the previous statements, is U different from F?",No,U is not different from F.,False
1206,F is different from F.,"Given the previous statements, is E different from F?",No,E is not different from F.,False
1207,F is different from F.,"Given the previous statements, is R different from F?",No,R is not different from F.,False
1208,F is different from F.,"Given the previous statements, is G different from F?",No,G is not different from F.,False
1209,F is different from F.,"Given the previous statements, is R different from F?",No,R is not different from F.,False
1210,F is different from F.,"Given the previous statements, is J different from F?",No,J is not different from F.,False
1211,F is different from F.,"Given the previous statements, is K different from F?",No,K is not different from F.,False
1212,F is different from F.,"Given the previous statements, is X different from F?",No,X is not different from F.,False
1213,F is different from F.,"Given the previous statements, is B different from F?",No,B is not different from F.,False
1214,F is different from F.,"Given the previous statements, is N different from F?",No,N is not different from F.,False
1215,F is different from F.,"Given the previous statements, is B different from F?",No,B is not different from F.,False
1216,F is different from F.,"Given the previous statements, is X different from F?",No,X is not different from F.,False
1217,F is different from F.,"Given the previous statements, is Q different from F?",No,Q is not different from F.,False
1218,F is different from F.,"Given the previous statements, is A different from F?",No,A is not different from F.,False
1219,F is different from F.,"Given the previous statements, is I different from F?",No,I is not different from F.,False
1220,F is different from F.,"Given the previous statements, is R different from F?",No,R is not different from F.,False
1221,F is different from F.,"Given the previous statements, is B different from F?",No,B is not different from F.,False
1222,F is different from F.,"Given the previous statements, is O different from F?",No,O is not different from F.,False
1223,F is different from F.,"Given the previous statements, is X different from F?",No,X is not different from F.,False
1224,F is different from F.,"Given the previous statements, is X different from F?",No,X is not different from F.,False
1225,F is different from F.,"Given the previous statements, is C different from F?",No,C is not different from F.,False
1226,F is different from F.,"Given the previous statements, is H different from F?",No,H is not different from F.,False
1227,F is different from F.,"Given the previous statements, is V different from F?",No,V is not different from F.,False
1228,F is different from F.,"Given the previous statements, is Q different from F?",No,Q is not different from F.,False
1229,F is different from F.,"Given the previous statements, is S different from F?",No,S is not different from F.,False
1230,F is different from F.,"Given the previous statements, is G different from F?",No,G is not different from F.,False
1231,F is different from F.,"Given the previous statements, is R different from F?",No,R is not different from F.,False
1232,F is different from F.,"Given the previous statements, is C different from F?",No,C is not different from F.,False
1233,F is different from F.,"Given the previous statements, is X different from F?",No,X is not different from F.,False
1234,F is different from F.,"Given the previous statements, is C different from F?",No,C is not different from F.,False
1235,F is different from F.,"Given the previous statements, is P different from F?",No,P is not different from F.,False
1236,F is different from F.,"Given the previous statements, is U different from F?",No,U is not different from F.,False
1237,F is different from F.,"Given the previous statements, is H different from F?",No,H is not different from F.,False
1238,F is different from F.,"Given the previous statements, is G different from F?",No,G is not different from F.,False
1239,F is different from F.,"Given the previous statements, is E different from F?",No,E is not different from F.,False
1240,F is different from F.,"Given the previous statements, is R different from F?",No,R is not different from F.,False
1241,G is different from G.,"Given the previous statements, is X different from G?",No,X is not different from G.,False
1242,G is different from G.,"Given the previous statements, is H different from G?",No,H is not different from G.,False
1243,G is different from G.,"Given the previous statements, is T different from G?",No,T is not different from G.,False
1244,G is different from G.,"Given the previous statements, is K different from G?",No,K is not different from G.,False
1245,G is different from G.,"Given the previous statements, is C different from G?",No,C is not different from G.,False
1246,G is different from G.,"Given the previous statements, is E different from G?",No,E is not different from G.,False
1247,G is different from G.,"Given the previous statements, is M different from G?",No,M is not different from G.,False
1248,G is different from G.,"Given the previous statements, is F different from G?",No,F is not different from G.,False
1249,G is different from G.,"Given the previous statements, is P different from G?",No,P is not different from G.,False
1250,G is different from G.,"Given the previous statements, is E different from G?",No,E is not different from G.,False
1251,G is different from G.,"Given the previous statements, is F different from G?",No,F is not different from G.,False
1252,G is different from G.,"Given the previous statements, is N different from G?",No,N is not different from G.,False
1253,G is different from G.,"Given the previous statements, is P different from G?",No,P is not different from G.,False
1254,G is different from G.,"Given the previous statements, is Q different from G?",No,Q is not different from G.,False
1255,G is different from G.,"Given the previous statements, is K different from G?",No,K is not different from G.,False
1256,G is different from G.,"Given the previous statements, is K different from G?",No,K is not different from G.,False
1257,G is different from G.,"Given the previous statements, is T different from G?",No,T is not different from G.,False
1258,G is different from G.,"Given the previous statements, is Y different from G?",No,Y is not different from G.,False
1259,G is different from G.,"Given the previous statements, is P different from G?",No,P is not different from G.,False
1260,G is different from G.,"Given the previous statements, is H different from G?",No,H is not different from G.,False
1261,G is different from G.,"Given the previous statements, is D different from G?",No,D is not different from G.,False
1262,G is different from G.,"Given the previous statements, is Z different from G?",No,Z is not different from G.,False
1263,G is different from G.,"Given the previous statements, is S different from G?",No,S is not different from G.,False
1264,G is different from G.,"Given the previous statements, is F different from G?",No,F is not different from G.,False
1265,G is different from G.,"Given the previous statements, is K different from G?",No,K is not different from G.,False
1266,G is different from G.,"Given the previous statements, is P different from G?",No,P is not different from G.,False
1267,G is different from G.,"Given the previous statements, is S different from G?",No,S is not different from G.,False
1268,G is different from G.,"Given the previous statements, is R different from G?",No,R is not different from G.,False
1269,G is different from G.,"Given the previous statements, is E different from G?",No,E is not different from G.,False
1270,G is different from G.,"Given the previous statements, is C different from G?",No,C is not different from G.,False
1271,G is different from G.,"Given the previous statements, is C different from G?",No,C is not different from G.,False
1272,G is different from G.,"Given the previous statements, is E different from G?",No,E is not different from G.,False
1273,G is different from G.,"Given the previous statements, is L different from G?",No,L is not different from G.,False
1274,G is different from G.,"Given the previous statements, is I different from G?",No,I is not different from G.,False
1275,G is different from G.,"Given the previous statements, is E different from G?",No,E is not different from G.,False
1276,G is different from G.,"Given the previous statements, is L different from G?",No,L is not different from G.,False
1277,G is different from G.,"Given the previous statements, is S different from G?",No,S is not different from G.,False
1278,G is different from G.,"Given the previous statements, is E different from G?",No,E is not different from G.,False
1279,G is different from G.,"Given the previous statements, is F different from G?",No,F is not different from G.,False
1280,G is different from G.,"Given the previous statements, is O different from G?",No,O is not different from G.,False
1281,H is different from H.,"Given the previous statements, is I different from H?",No,I is not different from H.,False
1282,H is different from H.,"Given the previous statements, is K different from H?",No,K is not different from H.,False
1283,H is different from H.,"Given the previous statements, is L different from H?",No,L is not different from H.,False
1284,H is different from H.,"Given the previous statements, is F different from H?",No,F is not different from H.,False
1285,H is different from H.,"Given the previous statements, is U different from H?",No,U is not different from H.,False
1286,H is different from H.,"Given the previous statements, is W different from H?",No,W is not different from H.,False
1287,H is different from H.,"Given the previous statements, is F different from H?",No,F is not different from H.,False
1288,H is different from H.,"Given the previous statements, is Z different from H?",No,Z is not different from H.,False
1289,H is different from H.,"Given the previous statements, is C different from H?",No,C is not different from H.,False
1290,H is different from H.,"Given the previous statements, is A different from H?",No,A is not different from H.,False
1291,H is different from H.,"Given the previous statements, is T different from H?",No,T is not different from H.,False
1292,H is different from H.,"Given the previous statements, is J different from H?",No,J is not different from H.,False
1293,H is different from H.,"Given the previous statements, is Q different from H?",No,Q is not different from H.,False
1294,H is different from H.,"Given the previous statements, is A different from H?",No,A is not different from H.,False
1295,H is different from H.,"Given the previous statements, is R different from H?",No,R is not different from H.,False
1296,H is different from H.,"Given the previous statements, is J different from H?",No,J is not different from H.,False
1297,H is different from H.,"Given the previous statements, is A different from H?",No,A is not different from H.,False
1298,H is different from H.,"Given the previous statements, is G different from H?",No,G is not different from H.,False
1299,H is different from H.,"Given the previous statements, is Q different from H?",No,Q is not different from H.,False
1300,H is different from H.,"Given the previous statements, is Q different from H?",No,Q is not different from H.,False
1301,H is different from H.,"Given the previous statements, is C different from H?",No,C is not different from H.,False
1302,H is different from H.,"Given the previous statements, is P different from H?",No,P is not different from H.,False
1303,H is different from H.,"Given the previous statements, is L different from H?",No,L is not different from H.,False
1304,H is different from H.,"Given the previous statements, is P different from H?",No,P is not different from H.,False
1305,H is different from H.,"Given the previous statements, is K different from H?",No,K is not different from H.,False
1306,H is different from H.,"Given the previous statements, is D different from H?",No,D is not different from H.,False
1307,H is different from H.,"Given the previous statements, is E different from H?",No,E is not different from H.,False
1308,H is different from H.,"Given the previous statements, is K different from H?",No,K is not different from H.,False
1309,H is different from H.,"Given the previous statements, is Q different from H?",No,Q is not different from H.,False
1310,H is different from H.,"Given the previous statements, is E different from H?",No,E is not different from H.,False
1311,H is different from H.,"Given the previous statements, is J different from H?",No,J is not different from H.,False
1312,H is different from H.,"Given the previous statements, is D different from H?",No,D is not different from H.,False
1313,H is different from H.,"Given the previous statements, is X different from H?",No,X is not different from H.,False
1314,H is different from H.,"Given the previous statements, is Q different from H?",No,Q is not different from H.,False
1315,H is different from H.,"Given the previous statements, is Z different from H?",No,Z is not different from H.,False
1316,H is different from H.,"Given the previous statements, is C different from H?",No,C is not different from H.,False
1317,H is different from H.,"Given the previous statements, is Q different from H?",No,Q is not different from H.,False
1318,H is different from H.,"Given the previous statements, is G different from H?",No,G is not different from H.,False
1319,H is different from H.,"Given the previous statements, is F different from H?",No,F is not different from H.,False
1320,H is different from H.,"Given the previous statements, is D different from H?",No,D is not different from H.,False
1321,I is different from I.,"Given the previous statements, is A different from I?",No,A is not different from I.,False
1322,I is different from I.,"Given the previous statements, is S different from I?",No,S is not different from I.,False
1323,I is different from I.,"Given the previous statements, is O different from I?",No,O is not different from I.,False
1324,I is different from I.,"Given the previous statements, is T different from I?",No,T is not different from I.,False
1325,I is different from I.,"Given the previous statements, is H different from I?",No,H is not different from I.,False
1326,I is different from I.,"Given the previous statements, is Q different from I?",No,Q is not different from I.,False
1327,I is different from I.,"Given the previous statements, is V different from I?",No,V is not different from I.,False
1328,I is different from I.,"Given the previous statements, is P different from I?",No,P is not different from I.,False
1329,I is different from I.,"Given the previous statements, is G different from I?",No,G is not different from I.,False
1330,I is different from I.,"Given the previous statements, is K different from I?",No,K is not different from I.,False
1331,I is different from I.,"Given the previous statements, is L different from I?",No,L is not different from I.,False
1332,I is different from I.,"Given the previous statements, is W different from I?",No,W is not different from I.,False
1333,I is different from I.,"Given the previous statements, is O different from I?",No,O is not different from I.,False
1334,I is different from I.,"Given the previous statements, is X different from I?",No,X is not different from I.,False
1335,I is different from I.,"Given the previous statements, is Y different from I?",No,Y is not different from I.,False
1336,I is different from I.,"Given the previous statements, is S different from I?",No,S is not different from I.,False
1337,I is different from I.,"Given the previous statements, is A different from I?",No,A is not different from I.,False
1338,I is different from I.,"Given the previous statements, is E different from I?",No,E is not different from I.,False
1339,I is different from I.,"Given the previous statements, is X different from I?",No,X is not different from I.,False
1340,I is different from I.,"Given the previous statements, is D different from I?",No,D is not different from I.,False
1341,I is different from I.,"Given the previous statements, is L different from I?",No,L is not different from I.,False
1342,I is different from I.,"Given the previous statements, is U different from I?",No,U is not different from I.,False
1343,I is different from I.,"Given the previous statements, is N different from I?",No,N is not different from I.,False
1344,I is different from I.,"Given the previous statements, is X different from I?",No,X is not different from I.,False
1345,I is different from I.,"Given the previous statements, is Y different from I?",No,Y is not different from I.,False
1346,I is different from I.,"Given the previous statements, is B different from I?",No,B is not different from I.,False
1347,I is different from I.,"Given the previous statements, is X different from I?",No,X is not different from I.,False
1348,I is different from I.,"Given the previous statements, is Q different from I?",No,Q is not different from I.,False
1349,I is different from I.,"Given the previous statements, is U different from I?",No,U is not different from I.,False
1350,I is different from I.,"Given the previous statements, is W different from I?",No,W is not different from I.,False
1351,I is different from I.,"Given the previous statements, is C different from I?",No,C is not different from I.,False
1352,I is different from I.,"Given the previous statements, is R different from I?",No,R is not different from I.,False
1353,I is different from I.,"Given the previous statements, is Z different from I?",No,Z is not different from I.,False
1354,I is different from I.,"Given the previous statements, is O different from I?",No,O is not different from I.,False
1355,I is different from I.,"Given the previous statements, is P different from I?",No,P is not different from I.,False
1356,I is different from I.,"Given the previous statements, is Z different from I?",No,Z is not different from I.,False
1357,I is different from I.,"Given the previous statements, is D different from I?",No,D is not different from I.,False
1358,I is different from I.,"Given the previous statements, is R different from I?",No,R is not different from I.,False
1359,I is different from I.,"Given the previous statements, is K different from I?",No,K is not different from I.,False
1360,I is different from I.,"Given the previous statements, is G different from I?",No,G is not different from I.,False
1361,J is different from J.,"Given the previous statements, is G different from J?",No,G is not different from J.,False
1362,J is different from J.,"Given the previous statements, is C different from J?",No,C is not different from J.,False
1363,J is different from J.,"Given the previous statements, is V different from J?",No,V is not different from J.,False
1364,J is different from J.,"Given the previous statements, is X different from J?",No,X is not different from J.,False
1365,J is different from J.,"Given the previous statements, is S different from J?",No,S is not different from J.,False
1366,J is different from J.,"Given the previous statements, is X different from J?",No,X is not different from J.,False
1367,J is different from J.,"Given the previous statements, is W different from J?",No,W is not different from J.,False
1368,J is different from J.,"Given the previous statements, is M different from J?",No,M is not different from J.,False
1369,J is different from J.,"Given the previous statements, is Y different from J?",No,Y is not different from J.,False
1370,J is different from J.,"Given the previous statements, is N different from J?",No,N is not different from J.,False
1371,J is different from J.,"Given the previous statements, is P different from J?",No,P is not different from J.,False
1372,J is different from J.,"Given the previous statements, is M different from J?",No,M is not different from J.,False
1373,J is different from J.,"Given the previous statements, is O different from J?",No,O is not different from J.,False
1374,J is different from J.,"Given the previous statements, is P different from J?",No,P is not different from J.,False
1375,J is different from J.,"Given the previous statements, is Q different from J?",No,Q is not different from J.,False
1376,J is different from J.,"Given the previous statements, is V different from J?",No,V is not different from J.,False
1377,J is different from J.,"Given the previous statements, is F different from J?",No,F is not different from J.,False
1378,J is different from J.,"Given the previous statements, is N different from J?",No,N is not different from J.,False
1379,J is different from J.,"Given the previous statements, is E different from J?",No,E is not different from J.,False
1380,J is different from J.,"Given the previous statements, is K different from J?",No,K is not different from J.,False
1381,J is different from J.,"Given the previous statements, is N different from J?",No,N is not different from J.,False
1382,J is different from J.,"Given the previous statements, is C different from J?",No,C is not different from J.,False
1383,J is different from J.,"Given the previous statements, is K different from J?",No,K is not different from J.,False
1384,J is different from J.,"Given the previous statements, is T different from J?",No,T is not different from J.,False
1385,J is different from J.,"Given the previous statements, is L different from J?",No,L is not different from J.,False
1386,J is different from J.,"Given the previous statements, is V different from J?",No,V is not different from J.,False
1387,J is different from J.,"Given the previous statements, is Y different from J?",No,Y is not different from J.,False
1388,J is different from J.,"Given the previous statements, is B different from J?",No,B is not different from J.,False
1389,J is different from J.,"Given the previous statements, is X different from J?",No,X is not different from J.,False
1390,J is different from J.,"Given the previous statements, is P different from J?",No,P is not different from J.,False
1391,J is different from J.,"Given the previous statements, is I different from J?",No,I is not different from J.,False
1392,J is different from J.,"Given the previous statements, is X different from J?",No,X is not different from J.,False
1393,J is different from J.,"Given the previous statements, is N different from J?",No,N is not different from J.,False
1394,J is different from J.,"Given the previous statements, is F different from J?",No,F is not different from J.,False
1395,J is different from J.,"Given the previous statements, is R different from J?",No,R is not different from J.,False
1396,J is different from J.,"Given the previous statements, is V different from J?",No,V is not different from J.,False
1397,J is different from J.,"Given the previous statements, is F different from J?",No,F is not different from J.,False
1398,J is different from J.,"Given the previous statements, is I different from J?",No,I is not different from J.,False
1399,J is different from J.,"Given the previous statements, is W different from J?",No,W is not different from J.,False
1400,J is different from J.,"Given the previous statements, is V different from J?",No,V is not different from J.,False
1401,K is different from K.,"Given the previous statements, is Y different from K?",No,Y is not different from K.,False
1402,K is different from K.,"Given the previous statements, is X different from K?",No,X is not different from K.,False
1403,K is different from K.,"Given the previous statements, is Z different from K?",No,Z is not different from K.,False
1404,K is different from K.,"Given the previous statements, is W different from K?",No,W is not different from K.,False
1405,K is different from K.,"Given the previous statements, is X different from K?",No,X is not different from K.,False
1406,K is different from K.,"Given the previous statements, is Y different from K?",No,Y is not different from K.,False
1407,K is different from K.,"Given the previous statements, is Z different from K?",No,Z is not different from K.,False
1408,K is different from K.,"Given the previous statements, is N different from K?",No,N is not different from K.,False
1409,K is different from K.,"Given the previous statements, is M different from K?",No,M is not different from K.,False
1410,K is different from K.,"Given the previous statements, is J different from K?",No,J is not different from K.,False
1411,K is different from K.,"Given the previous statements, is P different from K?",No,P is not different from K.,False
1412,K is different from K.,"Given the previous statements, is N different from K?",No,N is not different from K.,False
1413,K is different from K.,"Given the previous statements, is V different from K?",No,V is not different from K.,False
1414,K is different from K.,"Given the previous statements, is A different from K?",No,A is not different from K.,False
1415,K is different from K.,"Given the previous statements, is G different from K?",No,G is not different from K.,False
1416,K is different from K.,"Given the previous statements, is D different from K?",No,D is not different from K.,False
1417,K is different from K.,"Given the previous statements, is F different from K?",No,F is not different from K.,False
1418,K is different from K.,"Given the previous statements, is Y different from K?",No,Y is not different from K.,False
1419,K is different from K.,"Given the previous statements, is S different from K?",No,S is not different from K.,False
1420,K is different from K.,"Given the previous statements, is M different from K?",No,M is not different from K.,False
1421,K is different from K.,"Given the previous statements, is J different from K?",No,J is not different from K.,False
1422,K is different from K.,"Given the previous statements, is E different from K?",No,E is not different from K.,False
1423,K is different from K.,"Given the previous statements, is W different from K?",No,W is not different from K.,False
1424,K is different from K.,"Given the previous statements, is P different from K?",No,P is not different from K.,False
1425,K is different from K.,"Given the previous statements, is A different from K?",No,A is not different from K.,False
1426,K is different from K.,"Given the previous statements, is U different from K?",No,U is not different from K.,False
1427,K is different from K.,"Given the previous statements, is X different from K?",No,X is not different from K.,False
1428,K is different from K.,"Given the previous statements, is A different from K?",No,A is not different from K.,False
1429,K is different from K.,"Given the previous statements, is W different from K?",No,W is not different from K.,False
1430,K is different from K.,"Given the previous statements, is J different from K?",No,J is not different from K.,False
1431,K is different from K.,"Given the previous statements, is R different from K?",No,R is not different from K.,False
1432,K is different from K.,"Given the previous statements, is F different from K?",No,F is not different from K.,False
1433,K is different from K.,"Given the previous statements, is Y different from K?",No,Y is not different from K.,False
1434,K is different from K.,"Given the previous statements, is U different from K?",No,U is not different from K.,False
1435,K is different from K.,"Given the previous statements, is L different from K?",No,L is not different from K.,False
1436,K is different from K.,"Given the previous statements, is I different from K?",No,I is not different from K.,False
1437,K is different from K.,"Given the previous statements, is Y different from K?",No,Y is not different from K.,False
1438,K is different from K.,"Given the previous statements, is Z different from K?",No,Z is not different from K.,False
1439,K is different from K.,"Given the previous statements, is F different from K?",No,F is not different from K.,False
1440,K is different from K.,"Given the previous statements, is C different from K?",No,C is not different from K.,False
1441,L is different from L.,"Given the previous statements, is V different from L?",No,V is not different from L.,False
1442,L is different from L.,"Given the previous statements, is P different from L?",No,P is not different from L.,False
1443,L is different from L.,"Given the previous statements, is Q different from L?",No,Q is not different from L.,False
1444,L is different from L.,"Given the previous statements, is C different from L?",No,C is not different from L.,False
1445,L is different from L.,"Given the previous statements, is R different from L?",No,R is not different from L.,False
1446,L is different from L.,"Given the previous statements, is Q different from L?",No,Q is not different from L.,False
1447,L is different from L.,"Given the previous statements, is R different from L?",No,R is not different from L.,False
1448,L is different from L.,"Given the previous statements, is O different from L?",No,O is not different from L.,False
1449,L is different from L.,"Given the previous statements, is O different from L?",No,O is not different from L.,False
1450,L is different from L.,"Given the previous statements, is E different from L?",No,E is not different from L.,False
1451,L is different from L.,"Given the previous statements, is E different from L?",No,E is not different from L.,False
1452,L is different from L.,"Given the previous statements, is E different from L?",No,E is not different from L.,False
1453,L is different from L.,"Given the previous statements, is G different from L?",No,G is not different from L.,False
1454,L is different from L.,"Given the previous statements, is J different from L?",No,J is not different from L.,False
1455,L is different from L.,"Given the previous statements, is G different from L?",No,G is not different from L.,False
